id,match
kasten_blau_44_11_0315,"iüngste dochter, welche doch (<mark>iezt</mark>, das der PrinzP Allexander"
kasten_blau_45_8_0140,Diet- richstein. Mueß auch <mark>iezt</mark> wider meinen willen schliesen
kasten_blau_45_8_0135,"zue genießen. Was aber <mark>iezt</mark> meinen bruedern angeht, so"
kasten_blau_45_15_0784,"wie herzlich ich empfinde, <mark>iezt</mark> dero gnädigsterg gegenwart mich"
kasten_blau_44_11_0322,"zuezu schreiben, das weilen <mark>iezt</mark> alle seine ausreden aufgehebt"
kasten_blau_45_15_0056,"hüpsch gefangen. Hier ist <mark>iezt</mark> ein rechter apprill, balt"
kasten_blau_44_8_0494,"werden. Dero Liebden haben <mark>iezt</mark> den Wißer hier, der"
kasten_blau_44_7_0045,schönsten bedanken. Ich hab <mark>iezt</mark> vill zeit niks von
kasten_blau_44_7_0042,"minis tri hier hette. <mark>Iezt</mark> Chiffrierung eindeutig, Sinn unklar.bow"
korrespondenzakten_1147_0015,"auf welchs mich bezie. <mark>Iezt</mark> aber, weil die Hamilten"
kasten_blau_44_7_0051,"betrifft, mues man halt <mark>iezt</mark> den weitern erfolg erwarten"
kasten_blau_45_8_0202,"Münster werden ewer Durchlaucht <mark>iezt</mark> schon erhalten haben, was"
korrespondenzakten_1147_0012,"vocis bestehe, finden also <mark>iezt</mark> vohr vnötich des Wisers"
kasten_blau_45_15_0042,"duen gehabt, dan ich <mark>iezt</mark> selber mues einwehnig Aya"
kasten_blau_45_8_0352,"bin ich gottlob hier <mark>iezt</mark> versehn, dan ich ein"
kasten_blau_44_7_0468,von allem bericht erdeilt. <mark>Iezt</mark> werden ihr Mayestät die
kasten_blau_45_9_0372,Bruder Carl wirt auch <mark>iezt</mark> schon bey ewer Durchlaucht
kasten_blau_45_8_0014,"nit wohl auf gewesen, <mark>iezt</mark> aber widerumb beßer, vermein,"
kasten_blau_45_9_0019,sie verners darbey erhalten. <mark>Iezt</mark> rechne ich schon alle
kasten_blau_44_3f_0037,"gemeldt, so traw ich <mark>iezt</mark> nit mehr, bis sie"
kasten_blau_44_10_0118,"auch die altesten erst <mark>iezt</mark> bekomen, weil die überbringer"
kasten_blau_45_15_0116,"gott, das ewer Durchlaucht <mark>iezt</mark> sich widerumb in völliger"
kasten_blau_45_8_0016,das es niemant gekent. <mark>Iezt</mark> ist aber vohr ettlig
kasten_blau_45_8_0482,"standt, dießem sich würklich <mark>iezt</mark> mit offentlichem krieg zue"
kasten_blau_45_8_0208,haben beisen können. Vndt <mark>iezt</mark> ist es so kalt
kasten_blau_45_15_0207,"weis, das ewer Liebden <mark>iezt</mark> vill zueduen haben, will"
kasten_blau_45_9_0165,"fils nuhr bedrüeben vnd <mark>iezt</mark> nit nötig sein, dan"
kasten_blau_45_8_0213,"Schpanien müeßen schreiben, vndt <mark>iezt</mark> gehen mihr aus, förchte,"
kasten_blau_44_11_0292,"wan dero Liebden sich <mark>iezt</mark> wilfärich erzeigen vnd dasienige,"
kasten_blau_45_8_0333,"so kurz müeßen abrechen. <mark>Iezt</mark> mues ich vohr kommen,"
kasten_blau_44_11_0221,in herzen. Werd mich <mark>iezt</mark> befleißen desto fleißiger zue
kasten_blau_45_9_0171,"bruderb LudwigLudw comen- dirt <mark>iezt</mark> die infanterie, so bey"
kasten_blau_44_10_0326,vnzahlbaren volgenden. Sie seint <mark>iezt</mark> nach gott mein einziger
kasten_blau_45_8_0289,"sich gahr affectionirt zeiget. <mark>Iezt</mark> ist ein frag, ob"
kasten_blau_45_15_0363,wegen des geheimen rahts <mark>iezt</mark> würkhlich nit können es
kasten_blau_45_8_0110,"von diesem, was ich <mark>iezt</mark> geschrieben, in dem ihrigen"
kasten_blau_45_8_0239,zu duen vndt wirt <mark>iezt</mark> gleich auf Prag vndt
kasten_blau_44_6_0489,einen guten endt brengen. <mark>Iezt</mark> ist vnser Deütschmeister der
kasten_blau_45_9_0022,"das gnädigstg ersehen haben. <mark>Iezt</mark> reite ich schon fleisich,"
