id,match
kasten_blau_45_9_0179,"die saxen zuerecht kämen, <mark>izt</mark> marschirn sie woll, wis"
kasten_blau_44_11_0322,"dag retirirt, so dan <mark>izt</mark> die sehlen octaw. Freüt"
kasten_blau_45_15_0042,ehr ist. Es mues <mark>izt</mark> balt etwas herraus kommen.
korrespondenzakten_1147_0096,der vill schwezt vnd <mark>izt</mark> wegen der gefangen- schafft
kasten_blau_44_10_0118,"geistlige gütter mer als <mark>izt</mark>, vndt weil der Curfürst"
kasten_blau_45_9_0165,"darzu ahnhalten. Sie seint <mark>izt</mark> zue Krembs, damit sich"
kasten_blau_44_6_0003,"guet gewest als wie <mark>izt</mark>, das nuhr in der"
kasten_blau_44_11_0221,"bedacht sein. Er ist <mark>izt</mark> zu Laxenburg, dah gehe"
kasten_blau_45_9_0118,"zeit kurz gefallen, vnd <mark>izt</mark> ist schon schpaht. Wegen"
kasten_blau_45_15_0363,Durchlaucht werden auch schon <mark>izt</mark> das schreiben von der
emt___77-8811-korrespondenz-kurfursten-5,"Starenberg so gutt abgangen, <mark>izt</mark> wirt der Fuker balt"
kasten_blau_44_6_0489,"expediren. BruderB Carl ist <mark>izt</mark> hie, hab aber noch"
kasten_blau_45_7_0248,"beygelegt werden. Mihr seint <mark>izt</mark> in erwartung, was ihr"
kasten_blau_45_8_0485,Im lantag arbeiten sie <mark>izt</mark> fleisich vndt hoffe zue
kasten_blau_45_9_0304,"ich, wirt sein regiment <mark>izt</mark> balt zue der armeé"
kasten_blau_45_15_0333,"geschniben vnd gehagelt hatt, <mark>izt</mark> auf den abent scheünt"
kasten_blau_45_15_0540,"die zeitung gebracht, dus <mark>izt</mark> aus vnterdehnigstemvt kintlig herzen,"
kasten_blau_45_9_0155,"effect zeiget, weil Wien <mark>izt</mark> gahr geschpert. Wan etwas"
kasten_blau_44_9_0250,zue vns herüber gangen. <mark>Izt</mark> marschirt er gegen die
kasten_blau_45_8_0242,"bürsten fahren, so mues <mark>izt</mark> enden vnd due mich"
kasten_blau_45_7_0355,"an mein sohn geschriben. <mark>Izt</mark>, förcht ich, nach dem"
kasten_blau_45_9_0080,sach. Es hatt hier <mark>izt</mark> etlige dag ein guette
kasten_blau_45_9_0483,"vohrzuedragen, auch, wan ich <mark>izt</mark> wider werde heruohr gehn,"
kasten_blau_45_15_0356,"almechtigen gott, es werde <mark>izt</mark> alles widerumb guett sein"
kasten_blau_45_8_0424,"können. Ich befindt mich <mark>izt</mark> wohl, werd etwas brauchen."
kasten_blau_45_15_0859,trost. Ewer Durchlaucht werden <mark>izt</mark> schon empfangen haben den
kasten_blau_45_9_0055,Was ewer Durchlaucht aber <mark>izt</mark> in der sag von
kasten_blau_45_9_0320,Die beyrische fanterie wirt <mark>izt</mark> schon balt zue Offen
kasten_blau_45_15_0493,"negotien, dan man eben <mark>izt</mark> die türken anhören solle"
emt___77-8806c-4,"mihr den brif eingeschloßen. <mark>Izt</mark> vmbgotteswillen das eißen geschmitt,"
kasten_blau_45_15_0704,"woll ich glaub, das <mark>izt</mark> zimlich schpaht wirt sein"
kasten_blau_44_6_0379,"auff bin, weil ich <mark>izt</mark> will ich mich befleisen"
kasten_blau_45_8_0449,"vill ich kan, aber <mark>izt</mark> ist kein apertur. Wan"
kasten_blau_44_2d_0025,"schreiben, darumb mues auch <mark>izt</mark> schließen vndt sterbe dero"
kasten_blau_45_7_0148,dan es mein sohn <mark>izt</mark> gahr zu bedrüeblich wer
kasten_blau_45_9_0291,"drumb ahn, ist aber <mark>izt</mark> nit in in stand"
kasten_blau_45_15_0827,"völlich aufgehört haben, dan <mark>izt</mark> das wetter auch beßer,"
kasten_blau_45_9_0196,trew erzeiget vnd wirt <mark>izt</mark> seine antwort zue erwarten
kasten_blau_45_8_0477,"andreiben, es ist halt <mark>izt</mark> der Konigsekh krankh, so"
