id,match
kasten_blau_44_11_0322,"gehorsamen. Ich hoff auch <mark>jezt</mark>, dah ich vernemme, das"
kasten_blau_45_15_0359,"das beste duen, dan <mark>jezt</mark> ist dißer vall in"
kasten_blau_45_15_0526,"werden hinauf kommen, dan <mark>jezt</mark> leider wehnig mehr an"
kasten_blau_44_8_0494,"ausfürlich schreiben laßen, dan <mark>jezt</mark> vnmöchlig, seint die feiertagfedg"
kasten_blau_44_10_0010,"allem zeigen, wie dan <mark>jezt</mark> widerumb von der inquisition"
kasten_blau_44_8_0077,"desperat vnd narisch angestelt, <mark>jezt</mark> scheindt, das sie sich"
korrespondenzakten_1147_0012,"vern emmen kennen, also <mark>jezt</mark> nuhr zu erwarten, was"
kasten_blau_45_15_0791,"wollauf befinden, ist auch <mark>jezt</mark> gleich der Cowensel ankommen,"
kasten_blau_44_7_0468,"als andere duen, dan <mark>jezt</mark> man einmahl wirtschafften mus,"
kasten_blau_45_9_0265,"schön geweßen vnd warm, <mark>jezt</mark> ist schen g, werden"
kasten_blau_44_10_0118,zu duen. Weilen aber <mark>jezt</mark> die hoffnung zum friden
kasten_blau_44_10_0004,"wan man in includirt. <mark>Jezt</mark> ist noch die frag,"
kasten_blau_45_15_0161,zimlich lustig gefangen worden. <mark>Jezt</mark> richt sich hier alles
kasten_blau_45_15_0694,"werden, weil sie auch <mark>jezt</mark> Schpanien solemniter den krieg"
kasten_blau_45_15_0722,"vohr lieb zeigt vnd <mark>jezt</mark>, was vohr ein verlangen"
kasten_blau_45_9_0222,wie woll er sich <mark>jezt</mark> ganz gesundt befindt. Sag
kasten_blau_45_15_0363,"dag glükh gewunscht, aber <mark>jezt</mark> hatt er wider ein"
kasten_blau_45_15_0479,werden auch ihr Mayestät <mark>jezt</mark> hinein schiken zum reichsdag
kasten_blau_45_9_0253,dan sie gewis beßer <mark>jezt</mark> ist als in disem
kasten_blau_45_7_0335,"bede gesacht, das man <mark>jezt</mark> werde darob sein, damit"
kasten_blau_44_8_0146,"windt zerstördt hatt, auch <mark>jezt</mark> ists nit gahr aus"
kasten_blau_45_15_0565,vnd das sie vnterdeßen <mark>jezt</mark> guette operationes mögen duen.
kasten_blau_45_9_0444,"herrein bringen, was ich <mark>jezt</mark> vnterlaßen. Hab mit großen"
kasten_blau_45_9_0304,werde vns gnadeg geben. <mark>Jezt</mark> ist die armée vohr
kasten_blau_44_7_0157,5000 ducaten wirt es <mark>jezt</mark> ihr Mayestät auch schwer
