id,match
kasten_blau_45_9_0014,"mit welchen ihr Mayestät <mark>jezt</mark> hier überladen seint, noch"
kasten_blau_44_3f_0008,"3 wirt diser, welcher <mark>jezt</mark> sehr pressirt das negotium"
kasten_blau_45_9_0304,werde vns gnadeg geben. <mark>Jezt</mark> ist die armée vohr
kasten_blau_44_6_0070,"weis, das dero Liebden <mark>jezt</mark> mit der brauet werden"
kasten_blau_45_9_0263,beyde vnd vns alle. <mark>Jezt</mark> verlangt mich vnerhört auf
kasten_blau_44_9_0041,"im Reich anzuefangen, welches <mark>jzt</mark> ein greüligs contratempo währe."
kasten_blau_45_15_0164,die campagne vergebens versaume. <mark>Jezt</mark> ist das wetter hier
kasten_blau_45_8_0435,"schaden, wan gleich nit <mark>jezt</mark>, kan es an der"
kasten_blau_45_15_0161,zimlich lustig gefangen worden. <mark>Jezt</mark> richt sich hier alles
kasten_blau_44_6_0075,die augen gestochen haben. <mark>Jezt</mark> werden mihr balt gewißheit
kasten_blau_44_11_0152,"sehr schwehr, das er <mark>jezt</mark> solte abweßendt sein. Wirt"
kasten_blau_45_15_0869,"noch reden können, weil <mark>jezt</mark> alleweil die processionen vnd"
kasten_blau_45_8_0456,"sein können, so bitt <mark>jezt</mark> vnterdehnigstvnt vmb vergebung. Zue"
korrespondenzakten_1147_0001,"hören. EwerEw LiebdenLdten vertretten <mark>jetzt</mark> die stell eines vatteren,"
kasten_blau_44_10_0172,trewen schwester ?? Daß ich <mark>jezt</mark> nidt haben den trost
kasten_blau_45_9_0201,"den 30ten octobris8br 1683 <mark>Jezt</mark> eben komt der Aurschperg,"
kasten_blau_45_8_0068,"vohr die arme, welche <mark>jezt</mark> zusamen kommen, oder wan"
kasten_blau_44_7_0157,"nit einbilden, das er <mark>jezt</mark> andere intentiones füren solle."
kasten_blau_45_15_0849,wohlstandt erhalten. Ich verhoffe <mark>jezt</mark> balt ein gutte zeitung
kasten_blau_44_7_0450,"von allem bericht ertheil, <mark>jezt</mark> werden ihre MayestätMay die"
kasten_blau_45_15_0827,zue Inschprukh wirt sehn. <mark>Jezt</mark> wirt der Herzoch von
kasten_blau_44_11_0024,"könte, welche man doch <mark>jezt</mark> in bälde vohrzuenemmen verhoffet,"
kasten_blau_44_10_0010,"allem zeigen, wie dan <mark>jezt</mark> widerumb von der inquisition"
kasten_blau_45_9_0047,"gangen, vnd das mihr <mark>jezt</mark> die antwort vom Bischoff"
